NAME                        VERSION                            TYPE         
login                       1:4.8.1-1ubuntu5.20.04.1           deb           
logsave                     1.45.5-2ubuntu1                    deb           
lsb-base                    11.1.0ubuntu2                      deb           
management-agent                                               java-archive  
mawk                        1.3.4.20200120-2                   deb           
mount                       2.34-0.1ubuntu9.1                  deb           
nashorn                     1.8.0_292-b10                      java-archive  
ncurses-base                6.2-0ubuntu2                       deb           
ncurses-bin                 6.2-0ubuntu2                       deb           
openssl                     1.1.1f-1ubuntu2.8                  deb           
passwd                      1:4.8.1-1ubuntu5.20.04.1           deb           
perl-base                   5.30.0-9ubuntu0.2                  deb           
postgresql                  42.4.1                             java-archive  
procps                      2:3.3.16-1ubuntu2.3                deb           
resources                   1.8.0_292                          java-archive  
rt                          1.8.0_292                          java-archive  
sed                         4.7-1                              deb           
sensible-utils              0.0.12+nmu1                        deb           
sunec                       1.8.0_292                          java-archive  
sunjce_provider             1.8.0_292                          java-archive  
sunpkcs11                   1.8.0_292                          java-archive  
sysvinit-utils              2.96-2.1ubuntu1                    deb           
tar                         1.30+dfsg-7ubuntu0.20.04.1         deb           
tzdata                      2021a-0ubuntu0.20.04               deb           
ubuntu-keyring              2020.02.11.4                       deb           
ucf                         3.0038+nmu1                        deb           
util-linux                  2.34-0.1ubuntu9.1                  deb           
words                       1.0-SNAPSHOT                       java-archive  
zipfs                       1.8.0_292                          java-archive  
zlib1g                      1:1.2.11.dfsg-2ubuntu1.2           deb           
