NAME                            VERSION                             TYPE         
libpcsclite1                    1.9.1-1                             deb           
libperl5.32                     5.32.1-4+deb11u2                    deb           
libpng16-16                     1.6.37-3                            deb           
libpq5                          15.1-1.pgdg110+1                    deb           
libpsl5                         0.21.0-1.2                          deb           
libpython3-stdlib               3.9.2-3                             deb           
libpython3.9-minimal            3.9.2-1                             deb           
libpython3.9-stdlib             3.9.2-1                             deb           
libreadline8                    8.1-1                               deb           
librtmp1                        2.4+20151223.gitfa8646d.1-2+b2      deb           
libsasl2-2                      2.1.27+dfsg-2.1+deb11u1             deb           
libsasl2-modules-db             2.1.27+dfsg-2.1+deb11u1             deb           
libseccomp2                     2.5.1-1+deb11u1                     deb           
libselinux1                     3.1-3                               deb           
libsemanage-common              3.1-1                               deb           
libsemanage1                    3.1-1+b2                            deb           
libsensors-config               1:3.6.0-7                           deb           
libsensors5                     1:3.6.0-7                           deb           
libsepol1                       3.1-1                               deb           
libsmartcols1                   2.36.1-8+deb11u1                    deb           
libsqlite3-0                    3.34.1-3                            deb           
libss2                          1.46.2-2                            deb           
libssh2-1                       1.9.0-2                             deb           
libssl1.1                       1.1.1n-0+deb11u3                    deb           
libstdc++6                      10.2.1-6                            deb           
libsystemd0                     247.3-7+deb11u1                     deb           
libtasn1-6                      4.16.0-2+deb11u1                    deb           
libtinfo6                       6.2+20201114-2                      deb           
libtirpc-common                 1.3.1-1+deb11u1                     deb           
libtirpc3                       1.3.1-1+deb11u1                     deb           
libudev1                        247.3-7+deb11u1                     deb           
libunistring2                   0.9.10-4                            deb           
libuuid1                        2.36.1-8+deb11u1                    deb           
libvulkan1                      1.2.162.0-1                         deb           
libx11-6                        2:1.7.2-1                           deb           
libx11-data                     2:1.7.2-1                           deb           
libx11-xcb1                     2:1.7.2-1                           deb           
libxau6                         1:1.0.9-1                           deb           
libxcb-dri2-0                   1.14-3                              deb           
libxcb-dri3-0                   1.14-3                              deb           
libxcb-glx0                     1.14-3                              deb           
libxcb-present0                 1.14-3                              deb           
libxcb-shm0                     1.14-3                              deb           
libxcb-sync1                    1.14-3                              deb           
libxcb-xfixes0                  1.14-3                              deb           
libxcb1                         1.14-3                              deb           
libxdamage1                     1:1.1.5-2                           deb           
libxdmcp6                       1:1.1.2-3                           deb           
libxext6                        2:1.3.3-1.1                         deb           
libxfixes3                      1:5.0.3-2                           deb           
libxi6                          2:1.7.10-1                          deb           
libxml2                         2.9.10+dfsg-6.7+deb11u3             deb           
libxrender1                     1:0.9.10-1                          deb           
libxshmfence1                   1.3-1                               deb           
libxslt1.1                      1.1.34-4+deb11u1                    deb           
libxtst6                        2:1.2.3-1                           deb           
libxxf86vm1                     1:1.1.4-1+b2                        deb           
libxxhash0                      0.8.0-2                             deb           
libz3-4                         4.8.10-1                            deb           
libzstd1                        1.4.8+dfsg-2.1                      deb           
locales                         2.31-13+deb11u5                     deb           
login                           1:4.8.1-1                           deb           
logsave                         1.46.2-2                            deb           
lsb-base                        11.1.0                              deb           
mawk                            1.3.4.20200120-2                    deb           
media-types                     4.0.0                               deb           
mount                           2.36.1-8+deb11u1                    deb           
ncurses-base                    6.2+20201114-2                      deb           
ncurses-bin                     6.2+20201114-2                      deb           
netbase                         6.3                                 deb           
openjdk-11-jre                  11.0.16+8-1~deb11u1                 deb           
openjdk-11-jre-headless         11.0.16+8-1~deb11u1                 deb           
openssl                         1.1.1n-0+deb11u3                    deb           
passwd                          1:4.8.1-1                           deb           
perl                            5.32.1-4+deb11u2                    deb           
perl-base                       5.32.1-4+deb11u2                    deb           
perl-modules-5.32               5.32.1-4+deb11u2                    deb           
pinentry-curses                 1.1.0-4                             deb           
postgresql                      42.4.1                              java-archive  
postgresql-11                   11.18-1.pgdg110+1                   deb           
postgresql-client-11            11.18-1.pgdg110+1                   deb           
